"Time","Luftdruck in hPa","Globalstrahlung (SDE11) in W/m²","Direktstrahlung (SDE11) in W/m²","Globalstrahlung (CMP3) in W/m²"
01.01.2021 00:00:00,1001,-0.137,-5.82,-1.40
01.01.2021 00:15:00,1001,-0.159,-5.81,-1.01
01.01.2021 00:30:00,1001,-0.177,-5.83,-1.02
01.01.2021 00:45:00,1001,-0.169,-5.88,-1.08
01.01.2021 01:00:00,1001,-0.195,-5.90,-0.918
01.01.2021 01:15:00,1001,-0.214,-5.95,-1.34
01.01.2021 01:30:00,1001,-0.184,-5.94,-1.56
01.01.2021 01:45:00,1001,-0.200,-5.94,-1.20
01.01.2021 02:00:00,1001,-0.183,-5.89,-0.987
01.01.2021 02:15:00,1001,-0.180,-5.85,-1.35
01.01.2021 02:30:00,1001,-0.148,-5.82,-0.871
01.01.2021 02:45:00,1001,-0.0992,-5.72,-1.07
01.01.2021 03:00:00,1001,-0.0841,-5.67,-1.24
01.01.2021 03:15:00,1001,-0.0924,-5.69,-1.76
01.01.2021 03:30:00,1001,-0.121,-5.72,-2.01
01.01.2021 03:45:00,1001,-0.109,-5.74,-2.08
01.01.2021 04:00:00,1001,-0.128,-5.72,-2.52
01.01.2021 04:15:00,1001,-0.133,-5.77,-2.88
01.01.2021 04:30:00,1001,-0.160,-5.87,-4.15
01.01.2021 04:45:00,1001,-0.221,-5.92,-4.67
01.01.2021 05:00:00,1001,-0.229,-6.00,-2.65
01.01.2021 05:15:00,1001,-0.207,-5.95,-2.28
01.01.2021 05:30:00,1001,-0.241,-5.98,-4.71
01.01.2021 05:45:00,1001,-0.231,-6.09,-4.49
01.01.2021 06:00:00,1002,-0.258,-6.16,-4.30
01.01.2021 06:15:00,1002,-0.287,-6.20,-4.09
01.01.2021 06:30:00,1002,-0.299,-6.16,-4.03
01.01.2021 06:45:00,1002,-0.281,-6.19,-3.21
01.01.2021 07:00:00,1002,-0.300,-6.15,-2.38
01.01.2021 07:15:00,1002,-0.307,-6.16,-2.06
01.01.2021 07:30:00,1002,-0.286,-6.13,-2.21
01.01.2021 07:45:00,1002,-0.306,-6.12,-2.18
01.01.2021 08:00:00,1002,-0.250,-6.12,-2.05
01.01.2021 08:15:00,1002,-0.113,-6.13,-0.982
01.01.2021 08:30:00,1003,1.07,-5.84,-0.366
01.01.2021 08:45:00,1003,2.80,-5.38,2.38
01.01.2021 09:00:00,1003,10.2,-2.93,10.1
01.01.2021 09:15:00,1003,18.1,-0.109,17.7
01.01.2021 09:30:00,1003,26.2,2.90,25.5
01.01.2021 09:45:00,1003,36.5,6.14,35.0
