"Time","Leistung in kW","Windgeschwindigkeit in m/s"
01.01.2022 00:00:00,11.2,3.66
01.01.2022 00:15:00,10.9,3.70
01.01.2022 00:30:00,11.1,3.80
01.01.2022 00:45:00,10.7,3.67
01.01.2022 01:00:00,14.2,4.04
01.01.2022 01:15:00,15.0,4.11
01.01.2022 01:30:00,13.5,4.02
01.01.2022 01:45:00,19.5,4.47
01.01.2022 02:00:00,14.7,4.11
01.01.2022 02:15:00,15.2,4.13
01.01.2022 02:30:00,15.2,4.00
01.01.2022 02:45:00,10.4,3.70
01.01.2022 03:00:00,8.85,3.37
01.01.2022 03:15:00,5.42,2.94
01.01.2022 03:30:00,4.22,2.66
01.01.2022 03:45:00,6.31,2.90
01.01.2022 04:00:00,10.2,3.58
01.01.2022 04:15:00,12.5,3.80
01.01.2022 04:30:00,12.4,3.68
01.01.2022 04:45:00,12.4,3.82
01.01.2022 05:00:00,12.4,3.87
01.01.2022 05:15:00,9.52,3.52
01.01.2022 05:30:00,9.10,3.33
01.01.2022 05:45:00,6.51,3.08
01.01.2022 06:00:00,3.56,2.44
01.01.2022 06:15:00,6.99,3.25
01.01.2022 06:30:00,4.51,2.76
01.01.2022 06:45:00,5.26,2.93
01.01.2022 07:00:00,5.93,2.98
01.01.2022 07:15:00,4.36,2.81
01.01.2022 07:30:00,8.79,3.42
01.01.2022 07:45:00,13.9,3.90
01.01.2022 08:00:00,9.64,3.60
01.01.2022 08:15:00,7.93,3.31
01.01.2022 08:30:00,5.19,2.85
01.01.2022 08:45:00,5.73,2.95
01.01.2022 09:00:00,10.2,3.69
01.01.2022 09:15:00,7.15,3.19
01.01.2022 09:30:00,5.45,3.04
01.01.2022 09:45:00,6.24,3.12
01.01.2022 10:00:00,4.60,2.80
01.01.2022 10:15:00,6.29,3.12
01.01.2022 10:30:00,6.57,3.13
01.01.2022 10:45:00,6.71,3.21
01.01.2022 11:00:00,10.8,3.71
01.01.2022 11:15:00,13.7,3.96
01.01.2022 11:30:00,11.0,3.67
01.01.2022 11:45:00,16.0,4.17
01.01.2022 12:00:00,15.3,4.08
01.01.2022 12:15:00,17.2,4.20
01.01.2022 12:30:00,13.8,3.96
01.01.2022 12:45:00,12.9,3.93
01.01.2022 13:00:00,13.4,3.96
01.01.2022 13:15:00,13.8,4.03
01.01.2022 13:30:00,11.8,3.77
01.01.2022 13:45:00,12.0,3.88
01.01.2022 14:00:00,14.7,4.05
01.01.2022 14:15:00,10.8,3.68
01.01.2022 14:30:00,12.6,3.87
01.01.2022 14:45:00,17.0,4.25
01.01.2022 15:00:00,17.0,4.39
01.01.2022 15:15:00,16.0,4.18
01.01.2022 15:30:00,18.8,4.45
01.01.2022 15:45:00,14.9,4.11
01.01.2022 16:00:00,19.8,4.56
01.01.2022 16:15:00,26.0,4.96
01.01.2022 16:30:00,24.6,4.83
01.01.2022 16:45:00,26.5,5.04
01.01.2022 17:00:00,26.9,4.96
01.01.2022 17:15:00,31.6,5.15
01.01.2022 17:30:00,31.7,5.44
01.01.2022 17:45:00,35.0,5.60
01.01.2022 18:00:00,38.0,5.65
01.01.2022 18:15:00,36.8,5.58
01.01.2022 18:30:00,37.7,5.64
01.01.2022 18:45:00,37.1,5.56
01.01.2022 19:00:00,38.7,5.56
01.01.2022 19:15:00,34.7,5.54
01.01.2022 19:30:00,28.7,5.10
01.01.2022 19:45:00,26.5,5.03
01.01.2022 20:00:00,32.5,5.39
01.01.2022 20:15:00,31.9,5.57
01.01.2022 20:30:00,20.5,4.53
01.01.2022 20:45:00,17.7,4.35
01.01.2022 21:00:00,23.1,4.80
01.01.2022 21:15:00,26.4,4.84
01.01.2022 21:30:00,22.2,4.79
01.01.2022 21:45:00,27.4,5.22
01.01.2022 22:00:00,25.6,5.10
01.01.2022 22:15:00,25.8,5.11
01.01.2022 22:30:00,17.4,4.34
01.01.2022 22:45:00,9.77,3.58
01.01.2022 23:00:00,8.93,3.49
01.01.2022 23:15:00,9.48,3.58
01.01.2022 23:30:00,9.21,3.50
01.01.2022 23:45:00,9.10,3.53
02.01.2022 00:00:00,13.8,4.05
02.01.2022 00:15:00,12.3,3.89
02.01.2022 00:30:00,18.7,4.47
02.01.2022 00:45:00,14.7,4.03
02.01.2022 01:00:00,18.9,4.51
02.01.2022 01:15:00,10.2,3.57
02.01.2022 01:30:00,9.56,3.50
02.01.2022 01:45:00,6.17,3.08
02.01.2022 02:00:00,5.49,2.97
02.01.2022 02:15:00,9.88,3.59
02.01.2022 02:30:00,14.7,4.12
02.01.2022 02:45:00,13.1,3.94
02.01.2022 03:00:00,13.1,3.89
02.01.2022 03:15:00,17.1,4.43
02.01.2022 03:30:00,16.1,4.23
02.01.2022 03:45:00,18.7,4.49
02.01.2022 04:00:00,18.3,4.44
02.01.2022 04:15:00,12.1,3.94
02.01.2022 04:30:00,9.43,3.70
02.01.2022 04:45:00,10.5,3.69
02.01.2022 05:00:00,16.7,4.34
02.01.2022 05:15:00,16.4,4.28
02.01.2022 05:30:00,16.2,4.35
02.01.2022 05:45:00,12.9,3.92
02.01.2022 06:00:00,10.6,3.73
02.01.2022 06:15:00,12.0,3.83
02.01.2022 06:30:00,16.0,4.28
02.01.2022 06:45:00,14.3,3.98
02.01.2022 07:00:00,13.1,3.97
02.01.2022 07:15:00,9.55,3.62
02.01.2022 07:30:00,14.0,4.20
02.01.2022 07:45:00,22.2,4.73
02.01.2022 08:00:00,23.3,4.99
02.01.2022 08:15:00,23.1,5.01
02.01.2022 08:30:00,42.0,6.01
