"Time","rel. Luftfeuchtigkeit in %","Temperatur in °C","PV-Modultemperatur in °C"
31.12.2022 01:00:00,5.86,13.8,12.7
01.01.2023 01:00:00,2.85,11.1,10.6
02.01.2023 01:00:00,1.90,8.14,7.48
03.01.2023 01:00:00,1.10,5.01,4.30
04.01.2023 01:00:00,2.18,9.97,9.48
05.01.2023 01:00:00,4.28,8.53,9.43
06.01.2023 01:00:00,1.65,8.57,8.59
07.01.2023 01:00:00,1.43,9.39,9.11
08.01.2023 01:00:00,1.14,7.85,8.18
09.01.2023 01:00:00,1.58,6.06,5.09
10.01.2023 01:00:00,2.43,5.98,5.28
11.01.2023 01:00:00,2.30,8.71,9.13
12.01.2023 01:00:00,2.89,9.56,9.14
13.01.2023 01:00:00,1.97,7.52,6.38
14.01.2023 01:00:00,3.00,6.73,5.91
15.01.2023 01:00:00,4.42,5.43,4.36
16.01.2023 01:00:00,4.38,3.70,3.18
17.01.2023 01:00:00,3.19,2.79,2.94
18.01.2023 01:00:00,37.1,1.49,1.88
19.01.2023 01:00:00,83.2,2.91,3.00
20.01.2023 01:00:00,90.3,0.0645,-0.216
21.01.2023 01:00:00,88.5,0.599,0.546
22.01.2023 01:00:00,86.8,1.31,1.28
23.01.2023 01:00:00,82.2,2.66,2.80
24.01.2023 01:00:00,85.2,1.69,1.75
25.01.2023 01:00:00,97.5,-1.02,-0.748
26.01.2023 01:00:00,92.2,3.70,4.55
27.01.2023 01:00:00,80.7,3.02,2.93
28.01.2023 01:00:00,80.8,2.89,3.79
29.01.2023 01:00:00,92.6,4.29,4.05
30.01.2023 01:00:00,81.8,6.09,5.50
31.01.2023 01:00:00,83.8,5.99,4.97
01.02.2023 01:00:00,80.0,6.07,5.22
02.02.2023 01:00:00,89.7,6.24,5.96
03.02.2023 01:00:00,81.2,7.99,8.67
04.02.2023 01:00:00,80.7,4.42,5.11
05.02.2023 01:00:00,87.9,4.72,4.59
06.02.2023 01:00:00,88.1,4.62,5.59
07.02.2023 01:00:00,84.5,0.951,2.51
08.02.2023 01:00:00,72.2,1.47,2.68
09.02.2023 01:00:00,75.1,2.11,1.67
10.02.2023 01:00:00,85.4,5.02,5.80
11.02.2023 01:00:00,91.2,7.35,7.93
12.02.2023 01:00:00,92.9,6.65,7.76
13.02.2023 01:00:00,82.6,6.26,6.19
14.02.2023 01:00:00,90.4,5.47,7.85
15.02.2023 01:00:00,88.2,5.43,6.36
16.02.2023 01:00:00,89.7,7.01,6.99
17.02.2023 01:00:00,85.7,9.24,8.65
18.02.2023 01:00:00,91.7,7.88,8.03
19.02.2023 01:00:00,87.1,5.65,9.32
20.02.2023 01:00:00,86.5,8.86,8.99
21.02.2023 01:00:00,92.7,9.15,9.95
22.02.2023 01:00:00,92.6,8.46,9.15
23.02.2023 01:00:00,87.7,6.10,6.02
24.02.2023 01:00:00,85.4,4.86,5.13
25.02.2023 01:00:00,67.1,3.51,5.73
26.02.2023 01:00:00,61.4,2.10,4.11
27.02.2023 01:00:00,77.0,3.38,5.37
28.02.2023 01:00:00,84.6,4.13,9.32
01.03.2023 01:00:00,84.9,3.00,7.26
02.03.2023 01:00:00,94.6,1.69,6.66
03.03.2023 01:00:00,86.1,3.31,4.67
04.03.2023 01:00:00,82.2,4.76,5.49
05.03.2023 01:00:00,83.7,3.68,6.00
06.03.2023 01:00:00,83.9,2.66,5.85
07.03.2023 01:00:00,77.9,2.66,4.63
08.03.2023 01:00:00,81.0,1.34,2.82
09.03.2023 01:00:00,87.0,1.22,2.56
10.03.2023 01:00:00,98.1,0.380,0.118
11.03.2023 01:00:00,74.2,2.47,3.13
12.03.2023 01:00:00,90.5,3.87,3.11
13.03.2023 01:00:00,77.3,11.2,11.9
14.03.2023 01:00:00,75.9,5.58,7.38
15.03.2023 01:00:00,67.2,4.36,8.49
16.03.2023 01:00:00,67.5,5.39,5.02
17.03.2023 01:00:00,64.1,10.8,14.3
18.03.2023 01:00:00,82.3,11.2,14.3
