Time,Temperatur in °C
01.01.2020 01:00:00,"-0,406"
02.01.2020 01:00:00,"1,12"
03.01.2020 01:00:00,"6,59"
04.01.2020 01:00:00,"5,64"
05.01.2020 01:00:00,"5,14"
06.01.2020 01:00:00,"5,1"
07.01.2020 01:00:00,"6,33"
08.01.2020 01:00:00,"9,14"
09.01.2020 01:00:00,"10,1"
10.01.2020 01:00:00,"7,11"
11.01.2020 01:00:00,"4,86"
12.01.2020 01:00:00,"6,53"
13.01.2020 01:00:00,"6,23"
14.01.2020 01:00:00,"9,57"
15.01.2020 01:00:00,"9,41"
16.01.2020 01:00:00,"6,6"
17.01.2020 01:00:00,"7,93"
18.01.2020 01:00:00,"4,34"
19.01.2020 01:00:00,"5,4"
20.01.2020 01:00:00,"4,89"
21.01.2020 01:00:00,4
22.01.2020 01:00:00,6
23.01.2020 01:00:00,"2,3"
24.01.2020 01:00:00,"2,38"
25.01.2020 01:00:00,"2,53"
26.01.2020 01:00:00,"3,19"
27.01.2020 01:00:00,"7,18"
28.01.2020 01:00:00,"4,57"
29.01.2020 01:00:00,"5,05"
30.01.2020 01:00:00,"7,99"
31.01.2020 01:00:00,"9,64"
01.02.2020 01:00:00,10
02.02.2020 01:00:00,"6,7"
03.02.2020 01:00:00,"7,96"
04.02.2020 01:00:00,"5,8"
05.02.2020 01:00:00,"4,46"
06.02.2020 01:00:00,"5,87"
07.02.2020 01:00:00,"5,66"
08.02.2020 01:00:00,"5,47"
09.02.2020 01:00:00,"9,22"
10.02.2020 01:00:00,"6,6"
11.02.2020 01:00:00,"4,73"
12.02.2020 01:00:00,"4,81"
13.02.2020 01:00:00,"3,51"
14.02.2020 01:00:00,"5,57"
15.02.2020 01:00:00,"9,05"
16.02.2020 01:00:00,"10,7"
17.02.2020 01:00:00,"7,9"
18.02.2020 01:00:00,"6,89"
19.02.2020 01:00:00,5
20.02.2020 01:00:00,"6,99"
21.02.2020 01:00:00,"6,93"
22.02.2020 01:00:00,"8,42"
23.02.2020 01:00:00,"6,01"
24.02.2020 01:00:00,"6,07"
25.02.2020 01:00:00,"5,26"
26.02.2020 01:00:00,"3,45"
27.02.2020 01:00:00,"2,87"
28.02.2020 01:00:00,"4,36"
29.02.2020 01:00:00,"8,19"
01.03.2020 01:00:00,"6,25"
02.03.2020 01:00:00,"5,28"
03.03.2020 01:00:00,"5,28"
04.03.2020 01:00:00,"4,67"
05.03.2020 01:00:00,"5,1"
06.03.2020 01:00:00,"4,98"
07.03.2020 01:00:00,"6,88"
08.03.2020 01:00:00,"8,11"
09.03.2020 01:00:00,"7,48"
10.03.2020 01:00:00,"9,22"
11.03.2020 01:00:00,"9,94"
12.03.2020 01:00:00,"7,76"
13.03.2020 01:00:00,"5,81"
14.03.2020 01:00:00,"6,02"
15.03.2020 01:00:00,"9,52"
16.03.2020 01:00:00,"8,01"
17.03.2020 01:00:00,"8,38"
18.03.2020 01:00:00,"9,41"
19.03.2020 01:00:00,"7,34"
20.03.2020 01:00:00,"6,14"
21.03.2020 01:00:00,"4,06"
22.03.2020 01:00:00,"3,55"
23.03.2020 01:00:00,"3,78"
24.03.2020 01:00:00,"5,01"
25.03.2020 01:00:00,"6,1"
26.03.2020 01:00:00,"6,04"
27.03.2020 01:00:00,"7,32"
28.03.2020 01:00:00,"6,17"
29.03.2020 01:00:00,"3,68"
30.03.2020 02:00:00,"4,56"
31.03.2020 02:00:00,"3,64"
01.04.2020 02:00:00,"5,57"
02.04.2020 02:00:00,"7,33"
