"Time","rel. Luftfeuchtigkeit in %","Temperatur in °C","PV-Modultemperatur in °C"
01.01.2022 00:00:00,100,11.5,10.5
01.01.2022 00:15:00,100,11.5,10.2
01.01.2022 00:30:00,100,11.5,9.86
01.01.2022 00:45:00,100,11.4,9.96
01.01.2022 01:00:00,100,11.2,9.49
01.01.2022 01:15:00,100,11.1,9.82
01.01.2022 01:30:00,100,11.0,9.87
01.01.2022 01:45:00,100,11.0,9.88
01.01.2022 02:00:00,100,10.9,10.1
01.01.2022 02:15:00,100,10.8,10.1
01.01.2022 02:30:00,100,10.8,10.1
01.01.2022 02:45:00,100,10.7,9.42
01.01.2022 03:00:00,100,10.6,8.77
01.01.2022 03:15:00,100,10.3,8.52
01.01.2022 03:30:00,100,9.99,8.06
01.01.2022 03:45:00,100,9.84,7.88
01.01.2022 04:00:00,100,9.86,8.50
01.01.2022 04:15:00,100,10.1,9.09
01.01.2022 04:30:00,100,10.2,9.46
01.01.2022 04:45:00,100,10.3,9.62
01.01.2022 05:00:00,100,10.4,9.70
01.01.2022 05:15:00,100,10.5,9.70
01.01.2022 05:30:00,100,10.5,9.74
01.01.2022 05:45:00,100,10.5,9.62
01.01.2022 06:00:00,100,10.3,9.45
01.01.2022 06:15:00,100,10.3,9.32
01.01.2022 06:30:00,100,10.2,9.47
01.01.2022 06:45:00,100,10.2,9.54
01.01.2022 07:00:00,100,10.3,9.59
01.01.2022 07:15:00,100,10.3,9.58
01.01.2022 07:30:00,100,10.3,9.65
01.01.2022 07:45:00,100,10.3,9.70
01.01.2022 08:00:00,100,10.3,9.75
01.01.2022 08:15:00,100,10.3,9.81
01.01.2022 08:30:00,100,10.3,9.70
01.01.2022 08:45:00,100,10.3,9.59
01.01.2022 09:00:00,100,10.3,9.88
01.01.2022 09:15:00,100,10.4,10.2
01.01.2022 09:30:00,100,10.4,10.4
01.01.2022 09:45:00,100,10.6,10.7
01.01.2022 10:00:00,100,10.6,10.6
01.01.2022 10:15:00,100,10.3,10.3
01.01.2022 10:30:00,100,10.3,10.3
01.01.2022 10:45:00,100,10.4,10.5
01.01.2022 11:00:00,100,10.6,10.9
01.01.2022 11:15:00,100,10.6,11.0
01.01.2022 11:30:00,100,10.8,11.3
01.01.2022 11:45:00,100,11.2,12.3
01.01.2022 12:00:00,100,11.2,12.8
01.01.2022 12:15:00,100,11.2,12.7
01.01.2022 12:30:00,100,11.2,12.5
01.01.2022 12:45:00,100,11.4,12.2
01.01.2022 13:00:00,100,11.5,12.4
01.01.2022 13:15:00,100,11.5,12.3
01.01.2022 13:30:00,100,11.5,11.9
01.01.2022 13:45:00,100,11.6,11.7
01.01.2022 14:00:00,100,11.8,11.8
01.01.2022 14:15:00,100,11.9,11.8
01.01.2022 14:30:00,100,11.7,11.7
01.01.2022 14:45:00,100,11.6,11.4
01.01.2022 15:00:00,100,11.5,11.3
01.01.2022 15:15:00,100,11.5,11.3
01.01.2022 15:30:00,100,11.6,12.4
01.01.2022 15:45:00,100,11.7,11.6
01.01.2022 16:00:00,100,11.6,10.3
01.01.2022 16:15:00,100,11.3,9.87
01.01.2022 16:30:00,100,11.1,9.65
01.01.2022 16:45:00,100,11.1,9.82
01.01.2022 17:00:00,100,11.1,9.87
01.01.2022 17:15:00,100,10.9,9.58
01.01.2022 17:30:00,100,10.9,9.38
01.01.2022 17:45:00,100,11.0,9.58
01.01.2022 18:00:00,100,11.1,9.79
01.01.2022 18:15:00,100,11.0,9.74
01.01.2022 18:30:00,100,10.9,9.72
01.01.2022 18:45:00,100,11.0,9.73
01.01.2022 19:00:00,100,11.1,9.71
01.01.2022 19:15:00,100,11.2,9.82
01.01.2022 19:30:00,100,11.2,9.81
01.01.2022 19:45:00,100,11.1,9.79
01.01.2022 20:00:00,100,11.1,9.79
01.01.2022 20:15:00,100,11.4,10.0
01.01.2022 20:30:00,100,11.5,10.2
01.01.2022 20:45:00,100,11.7,10.6
01.01.2022 21:00:00,100,11.8,10.7
01.01.2022 21:15:00,100,11.6,10.4
01.01.2022 21:30:00,100,11.7,10.6
01.01.2022 21:45:00,100,11.7,10.7
01.01.2022 22:00:00,100,11.5,10.3
01.01.2022 22:15:00,100,11.4,10.1
01.01.2022 22:30:00,100,11.4,10.1
01.01.2022 22:45:00,100,11.4,10.0
01.01.2022 23:00:00,100,11.4,10.1
01.01.2022 23:15:00,100,11.0,9.83
01.01.2022 23:30:00,100,10.8,9.69
01.01.2022 23:45:00,100,10.9,9.85
02.01.2022 00:00:00,100,11.0,9.92
02.01.2022 00:15:00,100,11.2,10.2
02.01.2022 00:30:00,100,10.8,9.91
02.01.2022 00:45:00,100,10.8,9.86
02.01.2022 01:00:00,100,10.9,9.88
02.01.2022 01:15:00,100,10.8,9.86
02.01.2022 01:30:00,100,10.8,9.81
02.01.2022 01:45:00,100,11.0,10.00
02.01.2022 02:00:00,100,10.8,9.89
02.01.2022 02:15:00,100,10.6,9.72
02.01.2022 02:30:00,100,10.7,9.85
02.01.2022 02:45:00,100,10.7,9.94
02.01.2022 03:00:00,100,10.6,9.84
02.01.2022 03:15:00,100,10.7,9.94
02.01.2022 03:30:00,100,10.6,9.94
