"Time","Wirkleistung in kW","Blindleistung in kvar"
01.01.2022 00:00:00,0,0
01.01.2022 00:15:00,0,0
01.01.2022 00:30:00,0,0
01.01.2022 00:45:00,0,0
01.01.2022 01:00:00,0,0
01.01.2022 01:15:00,0,0
01.01.2022 01:30:00,0,0
01.01.2022 01:45:00,0,0
01.01.2022 02:00:00,0,0
01.01.2022 02:15:00,0,0
01.01.2022 02:30:00,0,0
01.01.2022 02:45:00,0,0
01.01.2022 03:00:00,0,0
01.01.2022 03:15:00,0,0
01.01.2022 03:30:00,0,0
01.01.2022 03:45:00,0,0
01.01.2022 04:00:00,0,0
01.01.2022 04:15:00,0,0
01.01.2022 04:30:00,0,0
01.01.2022 04:45:00,0,0
01.01.2022 05:00:00,0,0
01.01.2022 05:15:00,0,0
01.01.2022 05:30:00,0,0
01.01.2022 05:45:00,0,0
01.01.2022 06:00:00,0,0
01.01.2022 06:15:00,0,0
01.01.2022 06:30:00,0,0
01.01.2022 06:45:00,0,0
01.01.2022 07:00:00,0,0
01.01.2022 07:15:00,0,0
01.01.2022 07:30:00,0,0
01.01.2022 07:45:00,0,0
01.01.2022 08:00:00,0,0
01.01.2022 08:15:00,0,0
01.01.2022 08:30:00,0,0
01.01.2022 08:45:00,0,0
01.01.2022 09:00:00,0.00794,0.000682
01.01.2022 09:15:00,0.141,0.117
01.01.2022 09:30:00,0.471,0.165
01.01.2022 09:45:00,0.688,0.174
01.01.2022 10:00:00,0.415,0.161
01.01.2022 10:15:00,0.365,0.157
01.01.2022 10:30:00,0.284,0.152
01.01.2022 10:45:00,0.782,0.177
01.01.2022 11:00:00,1.03,0.185
01.01.2022 11:15:00,1.10,0.189
01.01.2022 11:30:00,2.47,0.234
01.01.2022 11:45:00,3.65,0.272
01.01.2022 12:00:00,3.83,0.281
01.01.2022 12:15:00,3.02,0.254
01.01.2022 12:30:00,2.37,0.236
01.01.2022 12:45:00,2.42,0.239
01.01.2022 13:00:00,2.56,0.241
01.01.2022 13:15:00,2.00,0.224
01.01.2022 13:30:00,1.23,0.198
01.01.2022 13:45:00,1.16,0.192
01.01.2022 14:00:00,1.36,0.202
01.01.2022 14:15:00,1.14,0.193
01.01.2022 14:30:00,0.762,0.180
01.01.2022 14:45:00,0.405,0.164
01.01.2022 15:00:00,0.552,0.172
01.01.2022 15:15:00,2.47,0.238
01.01.2022 15:30:00,3.32,0.267
01.01.2022 15:45:00,0.949,0.184
01.01.2022 16:00:00,0.277,0.155
01.01.2022 16:15:00,0.0335,0.0511
01.01.2022 16:30:00,0,0
01.01.2022 16:45:00,0,0
01.01.2022 17:00:00,0,0
01.01.2022 17:15:00,0,0
01.01.2022 17:30:00,0,0
01.01.2022 17:45:00,0,0
01.01.2022 18:00:00,0,0
01.01.2022 18:15:00,0,0
01.01.2022 18:30:00,0,0
01.01.2022 18:45:00,0,0
01.01.2022 19:00:00,0,0
01.01.2022 19:15:00,0,0
01.01.2022 19:30:00,0,0
01.01.2022 19:45:00,0,0
01.01.2022 20:00:00,0,0
01.01.2022 20:15:00,0,0
01.01.2022 20:30:00,0,0
01.01.2022 20:45:00,0,0
01.01.2022 21:00:00,0,0
01.01.2022 21:15:00,0,0
01.01.2022 21:30:00,0,0
01.01.2022 21:45:00,0,0
01.01.2022 22:00:00,0,0
01.01.2022 22:15:00,0,0
01.01.2022 22:30:00,0,0
01.01.2022 22:45:00,0,0
01.01.2022 23:00:00,0,0
01.01.2022 23:15:00,0,0
01.01.2022 23:30:00,0,0
01.01.2022 23:45:00,0,0
02.01.2022 00:00:00,0,0
02.01.2022 00:15:00,0,0
02.01.2022 00:30:00,0,0
02.01.2022 00:45:00,0,0
02.01.2022 01:00:00,0,0
02.01.2022 01:15:00,0,0
02.01.2022 01:30:00,0,0
02.01.2022 01:45:00,0,0
02.01.2022 02:00:00,0,0
02.01.2022 02:15:00,0,0
02.01.2022 02:30:00,0,0
02.01.2022 02:45:00,0,0
02.01.2022 03:00:00,0,0
02.01.2022 03:15:00,0,0
02.01.2022 03:30:00,0,0
02.01.2022 03:45:00,0,0
02.01.2022 04:00:00,0,0
02.01.2022 04:15:00,0,0
02.01.2022 04:30:00,0,0
02.01.2022 04:45:00,0,0
02.01.2022 05:00:00,0,0
02.01.2022 05:15:00,0,0
02.01.2022 05:30:00,0,0
02.01.2022 05:45:00,0,0
02.01.2022 06:00:00,0,0
02.01.2022 06:15:00,0,0
02.01.2022 06:30:00,0,0
02.01.2022 06:45:00,0,0
02.01.2022 07:00:00,0,0
02.01.2022 07:15:00,0,0
02.01.2022 07:30:00,0,0
02.01.2022 07:45:00,0,0
02.01.2022 08:00:00,0,0
02.01.2022 08:15:00,0,0
02.01.2022 08:30:00,0,0
02.01.2022 08:45:00,0,0
02.01.2022 09:00:00,0,0
02.01.2022 09:15:00,0,0
02.01.2022 09:30:00,0,0
02.01.2022 09:45:00,0.0688,0.0481
02.01.2022 10:00:00,0.0282,0.00199
02.01.2022 10:15:00,0.320,0.138
02.01.2022 10:30:00,0.586,0.165
02.01.2022 10:45:00,0.505,0.163
02.01.2022 11:00:00,0.277,0.153
02.01.2022 11:15:00,0.224,0.151
02.01.2022 11:30:00,0.383,0.159
02.01.2022 11:45:00,0.403,0.159
02.01.2022 12:00:00,0.148,0.0982
02.01.2022 12:15:00,0.376,0.125
02.01.2022 12:30:00,0.779,0.172
02.01.2022 12:45:00,1.68,0.205
02.01.2022 13:00:00,1.27,0.197
02.01.2022 13:15:00,0.550,0.169
02.01.2022 13:30:00,0.389,0.157
02.01.2022 13:45:00,1.25,0.198
02.01.2022 14:00:00,1.44,0.201
02.01.2022 14:15:00,2.43,0.239
02.01.2022 14:30:00,8.00,0.397
02.01.2022 14:45:00,6.75,0.369
02.01.2022 15:00:00,5.15,0.323
02.01.2022 15:15:00,0.566,0.170
02.01.2022 15:30:00,0.134,0.147
02.01.2022 15:45:00,0.147,0.150
02.01.2022 16:00:00,0.0559,0.0572
02.01.2022 16:15:00,0.00233,0.000117
02.01.2022 16:30:00,0,0
02.01.2022 16:45:00,0,0
02.01.2022 17:00:00,0,0
02.01.2022 17:15:00,0,0
02.01.2022 17:30:00,0,0
02.01.2022 17:45:00,0,0
02.01.2022 18:00:00,0,0
02.01.2022 18:15:00,0,0
02.01.2022 18:30:00,0,0
02.01.2022 18:45:00,0,0
02.01.2022 19:00:00,0,0
02.01.2022 19:15:00,0,0
02.01.2022 19:30:00,0,0
02.01.2022 19:45:00,0,0
02.01.2022 20:00:00,0,0
02.01.2022 20:15:00,0,0
02.01.2022 20:30:00,0,0
02.01.2022 20:45:00,0,0
02.01.2022 21:00:00,0,0
02.01.2022 21:15:00,0,0
02.01.2022 21:30:00,0,0
02.01.2022 21:45:00,0,0
02.01.2022 22:00:00,0,0
02.01.2022 22:15:00,0,0
02.01.2022 22:30:00,0,0
02.01.2022 22:45:00,0,0
02.01.2022 23:00:00,0,0
02.01.2022 23:15:00,0,0
02.01.2022 23:30:00,0,0
02.01.2022 23:45:00,0,0
03.01.2022 00:00:00,0,0
03.01.2022 00:15:00,0,0
03.01.2022 00:30:00,0,0
03.01.2022 00:45:00,0,0
03.01.2022 01:00:00,0,0
03.01.2022 01:15:00,0,0
03.01.2022 01:30:00,0,0
03.01.2022 01:45:00,0,0
03.01.2022 02:00:00,0,0
03.01.2022 02:15:00,0,0
03.01.2022 02:30:00,0,0
03.01.2022 02:45:00,0,0
03.01.2022 03:00:00,0,0
03.01.2022 03:15:00,0,0
03.01.2022 03:30:00,0,0
03.01.2022 03:45:00,0,0
03.01.2022 04:00:00,0,0
03.01.2022 04:15:00,0,0
03.01.2022 04:30:00,0,0
03.01.2022 04:45:00,0,0
03.01.2022 05:00:00,0,0
03.01.2022 05:15:00,0,0
03.01.2022 05:30:00,0,0
03.01.2022 05:45:00,0,0
03.01.2022 06:00:00,0,0
03.01.2022 06:15:00,0,0
03.01.2022 06:30:00,0,0
03.01.2022 06:45:00,0,0
03.01.2022 07:00:00,0,0
