,temperature [degC],pressure [hPa],wind direction [deg],wind speed [m/s],cloud coverage [1/8],humidity [%],direct irradiance [W/m^2],diffuse irradiance [W/m^2],synthetic global irradiance [W/m^2],synthetic diffuse irradiance [W/m^2],clear sky irradiance [W/m^2],PV_Süd [W],PV_West [W],PV_Ost [W],PV - Vorhanden [W]
2022-01-01 00:00:00,-4.4,1017.0,110.0,1.7,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:15:00,-4.4,1017.0,110.0,1.7,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:30:00,-4.6,1017.0,111.6,1.7,0.9,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 00:45:00,-4.9,1017.0,115.1,1.8,0.6,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:00:00,-5.3,1017.0,118.6,1.9,0.4,79.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:15:00,-5.6,1017.0,122.1,2.0,0.1,79.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:30:00,-5.9,1016.9,124.8,2.1,0.0,78.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:45:00,-6.2,1016.6,126.6,2.2,0.0,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:00:00,-6.5,1016.4,128.3,2.3,0.0,78.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:15:00,-6.8,1016.1,130.1,2.4,0.0,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:30:00,-6.9,1016.0,130.8,2.4,0.2,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 02:45:00,-7.0,1016.0,130.3,2.4,0.7,79.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:00:00,-7.0,1016.0,129.8,2.5,1.2,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:15:00,-7.1,1016.0,129.3,2.5,1.7,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:30:00,-7.1,1015.9,129.0,2.5,2.1,81.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 03:45:00,-7.0,1015.6,129.0,2.5,2.4,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:00:00,-7.0,1015.4,129.0,2.4,2.6,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:15:00,-6.9,1015.1,129.0,2.4,2.9,82.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:30:00,-6.9,1014.9,128.4,2.4,3.3,83.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 04:45:00,-6.8,1014.6,127.2,2.5,4.1,83.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:00:00,-6.7,1014.4,125.9,2.6,4.9,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:15:00,-6.6,1014.1,124.7,2.7,5.6,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:30:00,-6.4,1013.9,126.1,2.6,6.2,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 05:45:00,-6.3,1013.6,130.6,2.4,6.7,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:00:00,-6.1,1013.4,135.1,2.1,7.2,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:15:00,-6.0,1013.1,139.6,1.9,7.7,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:30:00,-5.8,1012.9,144.3,1.9,8.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 06:45:00,-5.7,1012.6,149.3,2.1,8.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 07:00:00,-5.5,1012.4,154.3,2.2,8.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 07:15:00,-5.4,1012.1,159.3,2.4,8.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 07:30:00,-5.3,1011.9,159.9,2.4,8.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 07:45:00,-5.2,1011.6,155.4,2.3,8.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 08:00:00,-5.1,1011.4,150.9,2.1,8.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 08:15:00,-5.0,1011.1,146.4,2.0,8.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
