,Windkraftanlage_options,Bhkw_options,Pv_options,Waermepumpe_options,Gastherme_options,Waermebedarfssenkung_options,Vorlauf_temp_options,Wetter_typ,Netzbezug,Netzeinspeisung,Gasbezug,max_gas,max_p_el,Volllaststunden_bhkw,Cop,Stromproduktion,Stromverbrauch_hp
0,Ein,Aus,25 kWp,Aus,Normal weiter,0%,0,zukunft Normal,1591363.8340017372,0.0,4165502.4776580827,1268.885,370.80847976452077,0.0,0.0,111661.1909982627,0.0
1,Ein,Aus,500 kWp,Aus,Normal weiter,0%,0,zukunft Normal,1237057.0321576784,48270.07303847896,4165502.4776580827,1268.885,356.9074556184423,0.0,0.0,514238.06588080054,0.0
2,Ein,Aus,1.000 kWp,Aus,Normal weiter,0%,0,zukunft Normal,1075932.3035056135,289722.2192689517,4165502.4776580827,1268.885,350.26878918058975,0.0,0.0,916814.9407633385,0.0
3,Ein,Aus,1.500 kWp,Aus,Normal weiter,0%,0,zukunft Normal,997588.3894474092,613955.1800932855,4165502.4776580827,1268.885,348.68770998209504,0.0,0.0,1319391.8156458766,0.0
4,Aus,Aus,25 kWp,Aus,Normal weiter,0%,0,zukunft Normal,1669237.8309003622,0.0,4165502.4776580827,1268.885,383.2693300024279,0.0,0.0,33787.194099637694,0.0
5,Aus,Aus,500 kWp,Aus,Normal weiter,0%,0,zukunft Normal,1306692.869565116,40031.913547292024,4165502.4776580827,1268.885,370.8074556184423,0.0,0.0,436364.06898217555,0.0
6,Aus,Aus,1.000 kWp,Aus,Normal weiter,0%,0,zukunft Normal,1136658.7846739364,272574.7035386499,4165502.4776580827,1268.885,360.4595518844883,0.0,0.0,838940.9438647135,0.0
7,Aus,Aus,1.500 kWp,Aus,Normal weiter,0%,0,zukunft Normal,1053415.1161701395,591907.9099173909,4165502.4776580827,1268.885,356.1277099820951,0.0,0.0,1241517.8187472513,0.0
8,Ein,Aus,25 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Normal,1591363.8340017372,0.0,4097215.551794836,1248.083606557377,370.80847976452077,0.0,0.0,111661.1909982627,0.0
9,Ein,Aus,500 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Normal,1237057.0321576784,48270.07303847896,4097215.551794836,1248.083606557377,356.9074556184423,0.0,0.0,514238.06588080054,0.0
10,Ein,Aus,1.000 kWp,Aus,Zwei-Stoff-Brenner,0%,0,zukunft Normal,1075932.3035056135,289722.2192689517,4097215.551794836,1248.083606557377,350.26878918058975,0.0,0.0,916814.9407633385,0.0
